ADDRESS,Address details,PHONE,MON Open,MON Close,TUES Open,TUES Close,WED Open,WED Close,THURS Open,THURS Close,FRI Open,FRI Close,SAT Open,SAT Close,SUN Open,SUN Close,LATITUDE,LONGITUDE,Area
550 Yonge Street,(South of Wellesley),416-515-9090,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.664371,-79.384412,Downtown
3 Rees St.,,416-360-4444,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.639393,-79.38683,Downtown
461 Church Street,(South of Wellesley),416-922-5252,11:00,22:00,11:00,22:00,11:00,22:00,11:00,2:00,11:00,4:00,11:00,4:00,11:00,2:00,43.664195,-79.380209,Downtown
707 Yonge Street,(South of Bloor) ,416-966-0555,10:00,2:00,10:00,2:00,10:00,4:00,10:00,4:00,10:00,4:00,10:00,4:00,10:00,2:00,43.669398,-79.386288,Downtown
270 Adelaide St. W,,416-599-0999,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.647868,-79.390168,Downtown
454 Bloor St W.,,416-532-7222,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,4:00,10:00,4:00,10:00,23:00,43.665635,-79.409089,Downtown
624 Queen St. West ,,416-507-9944,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,4:00,10:00,4:00,10:00,23:00,43.647018,-79.405576,Downtown
609 Queen St. West ,,416-364-5551,10:00,23:00,10:00,23:00,10:00,23:00,10:00,2:00,10:00,4:00,10:00,4:00,10:00,23:00,43.647495,-79.402437,Downtown
521 King Street West ,,416-599-9995,11:00,23:00,11:00,23:00,11:00,23:00,11:00,4:00,11:00,4:00,11:00,4:00,11:00,3:00,43.644707,-79.398163,Downtown
834 Yonge Street,(North of Cumberland) ,416-323-3456,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.671484,-79.387369,Downtown
698 Queen Street East,(West of Broadview),416-406-3456,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.658868,-79.350274,Downtown
1 Toronto Street,,416-366-5551,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.649576,-79.37592,Downtown
205 Dundas St. W.,,416-506-1052,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,43.654865,-79.387411,Downtown
104 Yonge Street,,416-860-0700 ,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.649363,-79.378009,Downtown
289 Dundas Street West ,,416-597-1100,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,43.654297,-79.391099,Downtown
346 Bloor St,,416-922-9922,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.666632,-79.404428,Downtown
588 Danforth Ave,,416-778-8899,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.678695,-79.34675,Downtown
953 Eglinton Avenue West,,416-789-9888,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.700265,-79.428873,Uptown
7117 Bathurst St ,,905-709-0909,10:00,23:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,23:00,10:00,23:00,10:00,22:00,43.794984,-79.446129,Uptown
13 St. Clair Ave. West ,,416-960-3030,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,43.687878,-79.394668,Uptown
1769 Avenue Road ,"(Just North of Lawrence, South of Melrose, East Side)",416-256-7777,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,12:00,22:00,43.729556,-79.418347,Uptown
745 Mount Pleasant ,"(Just south of Eglinton, East Side) ",416-480-0999,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,43.707524,-79.389585,Uptown
2221 Yonge Street,,416-480-2444 ,11:00,0:00,11:00,24:00,11:00,24:00,11:00,0:00,11:00,1:00,11:00,1:00,11:00,24:00,43.705998,-79.397977,Uptown
865 York Mills Road,,416-987-1212,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,15:00,23:00,43.754762,-79.349884,Uptown
4920 Yonge St.,,416-590-0002,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,24:00,11:00,24:00,11:00,23:00,43.764341,-79.41174,Uptown
66 Kingston Road ,,416-698-0700,14:00,23:00,14:00,23:00,14:00,23:00,14:00,23:00,14:00,23:00,14:00,23:00,14:00,23:00,43.669046,-79.311812,The Beaches
2425 Bloor St. West ,,416-767-8910,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,15:00,22:00,43.649325,-79.484407,Etobicoke
3339 Bloor St.West ,,416-234-0404,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,23:00,10:00,23:00,10:00,23:00,43.644997,-79.521473,Etobicoke
56 Lakeshore Blvd East,,,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,43.630603,-79.354254,West
