ID,Address,Phone,Area Name,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close
1,550 Yonge Street,416-922-5252,Downtown,10:00,22:00,10:00,22:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
2,3 Rees Street,416-360-4444,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,00:00,10:00,00:00,10:00,23:00
3,461 Church Street,416-922-5252,Downtown,10:00,22:00,10:00,22:00,10:00,22:00,10:00,03:00,10:00,03:00,10:00,03:00,10:00,23:00
4,707 Yonge Street,416-966-0555,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,02:00,10:00,02:00,10:00,23:00
5,270 Adelaide Street West,416-599-0999,Downtown,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,04:00,10:00,04:00,10:00,23:00
6,454 Bloor Street,416-532-7222,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,04:00,10:00,04:00,10:00,23:00
7,624 Queen Street West ,416-507-9944,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,02:00,10:00,04:00,10:00,04:00,10:00,23:00
8,609 Queen Street West ,416-364-5551,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,04:00,10:00,04:00,10:00,23:00
9,521 King Street West ,416-599-9995,Downtown,10:00,23:00,10:00,00:00,10:00,00:00,10:00,03:00,10:00,04:00,10:00,04:00,10:00,00:00
10,834 Yonge Street,416-323-3456,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
11,698 Queen Street East,416-406-3456,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,01:00,10:00,01:00,10:00,23:00
12,1 Toronto Street,416-366-5551,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
13,205 Dundas Street West,416-506-1052,Downtown,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,23:00,10:00,23:00
14,104 Yonge Street,416-860-0700 ,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
15,289 Dundas Street West ,416-597-1100,Downtown,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,10:00,23:00,10:00,23:00
16,346 Bloor Street,416-922-9922,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
17,588 Danforth Avenue,416-778-8899,East York,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,00:00,10:00,00:00,10:00,23:00
18,953 Eglinton Avenue West,416-789-9888,Uptown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
19,7117 Bathurst Street,905-709-0909,Thornhill,15:00,22:00,15:00,22:00,15:00,22:00,15:00,22:00,15:00,22:00,15:00,22:00,15:00,22:00
20,13 St. Clair Avenue West ,416-960-3030,Uptown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
21,3369 Yonge Street,416-256-7777,Uptown,10:00,22:00,10:00,22:00,10:00,22:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,22:00
22,745 Mount Pleasant ,416-480-0999,Uptown,10:00,22:00,10:00,22:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
23,2221 Yonge Street,416-480-2444 ,Uptown,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,00:00,11:00,00:00,11:00,23:00
24,865 York Mills Road,416-987-1212,Uptown,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,22:00
25,4920 Yonge Street,416-590-0002,Uptown,10:00,22:00,10:00,22:00,10:00,22:00,10:00,23:00,10:00,00:00,10:00,23:00,10:00,22:00
26,66 Kingston Road ,416-698-0700,The Beaches,14:00,22:00,14:00,22:00,14:00,22:00,14:00,22:00,14:00,23:00,14:00,23:00,14:00,22:00
27,2425 Bloor Street West ,416-767-8910,Etobicoke,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,23:00,10:00,23:00,10:00,22:00
28,3339 Bloor Street West ,416-234-0404,Etobicoke,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,23:00,10:00,23:00,10:00,22:00
29,56 Lakeshore Road East,905-271-7121,Mississauga,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,23:30,10:00,23:30,10:00,22:00
30,37 Eglinton Avenue East,416-482-2000,Uptown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,00:00,10:00,00:00,10:00,23:00
31,123 Spadina Avenue,416-598-9898,Downtown,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
32,341 Lakeshore Road East,905-337-3377,Oakville,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,22:00
33,3180 Lake Shore Blvd West,416-251-5700,Etobicoke,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,22:00
34,1172 Queen Street West,416-364-5551,Downtown,11:00,23:00,11:00,23:00,11:00,23:00,11:00,02:00,11:00,04:00,11:00,04:00,11:00,23:00
35,3480 Fairview Street,905-634-0303,Burlington,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,12:00,22:00
36,383 Roncesvalles Ave.,416-231-2211,Downtown,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00
37,130 Guelph Street,905-877-7477,Georgetown,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,22:00
38,115 York Boulevard,905-709-6000,Richmond Hill,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
39,110 Danforth Avenue,416-778-1000,East York,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00
40,5130 Dixie Road,905-282-1000,Mississauga,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,21:00
